4,7,12,3,14,5,4,4,5,5,5,6,7,6,6,7,5,5,5,7,5,7,7,7,4,7,7,4,7,5
5,5,21,26,25,22,5,7,6,5,5,4,5,4,4,5,6,6,7,5,6,5,4,4,4,5,4,6,4,4
5,4,4,12,1,14,5,7,6,5,5,6,7,7,4,5,7,7,7,6,4,4,6,4,4,6,5,6,6,7
5,5,5,12,0,14,5,7,6,4,6,7,6,4,6,4,7,6,6,6,5,4,6,4,4,6,4,4,6,7
7,7,5,12,1,25,22,6,7,6,5,6,6,5,4,5,7,7,7,6,5,4,5,5,5,7,5,6,5,4
7,6,6,21,10,26,14,6,4,4,4,7,5,5,5,4,7,4,6,4,5,4,5,6,7,4,6,5,4,5
7,5,6,6,4,12,25,22,4,6,7,4,7,5,4,5,5,5,5,4,4,7,7,5,6,7,5,7,7,6
6,7,7,5,7,21,26,25,8,8,8,8,8,22,4,7,7,4,5,4,4,5,5,7,4,5,5,6,7,7
7,6,6,5,5,4,21,10,10,10,10,10,26,25,22,7,4,6,7,5,6,4,4,6,7,6,5,6,4,4
5,5,6,6,7,5,7,5,6,6,6,4,21,26,14,6,7,7,7,6,6,6,7,4,5,7,5,6,7,5
4,5,6,5,6,4,7,7,4,7,5,7,5,12,25,22,6,6,4,5,4,6,6,5,5,5,7,4,4,7
7,7,4,4,5,5,4,4,6,4,6,6,4,21,26,25,22,4,6,4,7,5,7,6,7,7,7,4,5,5
6,7,7,4,5,4,6,5,6,5,4,5,7,6,21,26,25,22,7,5,4,4,5,7,6,7,6,7,4,4
6,6,6,7,4,5,7,5,5,5,7,7,7,6,23,24,3,14,7,6,4,6,6,7,7,5,4,4,5,4
4,5,4,6,6,4,4,5,5,5,5,5,5,7,12,2,3,14,7,6,6,7,4,5,6,6,6,4,5,4
4,5,6,5,5,5,6,7,6,5,5,5,4,23,24,2,0,14,4,7,7,6,6,6,6,4,4,5,7,4
7,7,6,6,4,7,4,5,4,7,5,4,7,12,3,0,3,14,4,4,7,7,4,6,7,5,5,6,7,6
4,6,5,7,4,5,7,7,7,7,5,6,23,24,0,0,27,20,7,5,5,7,4,7,7,4,5,6,5,6
6,7,6,4,6,4,7,6,7,5,5,6,12,0,27,10,20,7,4,7,6,5,7,7,7,6,7,6,5,4
5,7,7,4,5,5,7,7,4,5,5,23,24,0,14,5,6,6,7,6,7,6,7,7,6,7,7,4,5,5
